Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
1924,Chamonix,Biathlon,Biathlon,G. Berthet,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,C. Mandrillon,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,Maurice Mandrillon,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Biathlon,Biathlon,André Vandelle,FRA,Men,Military Patrol,Bronze,France
1924,Chamonix,Curling,Curling,H. Aldeert,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,Georges Andre,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,Benedic,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,P. Canivet,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,F. Cournollet,FRA,Men,Curling,Bronze,France
1924,Chamonix,Curling,Curling,R. Planque,FRA,Men,Curling,Bronze,France
1924,Chamonix,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Bronze,France
1924,Chamonix,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Bronze,France
1928,St.Moritz,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Gold,France
1928,St.Moritz,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Gold,France
1932,Lake Placid,Skating,Figure skating,Andrée Brunet,FRA,Women,Pairs,Gold,France
1932,Lake Placid,Skating,Figure skating,Pierre Brunet,FRA,Men,Pairs,Gold,France
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,Emile Allais,FRA,Men,Alpine Combined,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,James Couttet,FRA,Men,Alpine Combined,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Alpine Combined,Gold,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Downhill,Gold,France
1948,St.Moritz,Skiing,Alpine Skiing,Henri Oreiller,FRA,Men,Slalom,Bronze,France
1948,St.Moritz,Skiing,Alpine Skiing,James Couttet,FRA,Men,Slalom,Silver,France
1952,Oslo,Skating,Figure skating,Jacqueline Du Bief,FRA,Women,Individual,Bronze,France
1960,Squaw Valley,Skiing,Alpine Skiing,Guy Périllat,FRA,Men,Downhill,Bronze,France
1960,Squaw Valley,Skiing,Alpine Skiing,Jean Vuarnet,FRA,Men,Downhill,Gold,France
1960,Squaw Valley,Skiing,Alpine Skiing,Charles Bozon,FRA,Men,Slalom,Bronze,France
1964,Innsbruck,Skating,Figure skating,Alain Calmat,FRA,Men,Individual,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,Léo Lacroix,FRA,Men,Downhill,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,François Bonlieu,FRA,Men,Giant Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Giant Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Christine Goitschel,FRA,Women,Giant Slalom,Silver,France
1964,Innsbruck,Skiing,Alpine Skiing,Christine Goitschel,FRA,Women,Slalom,Gold,France
1964,Innsbruck,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Slalom,Silver,France
1968,Grenoble,Skating,Figure skating,Patrick Pera,FRA,Men,Individual,Bronze,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Downhill,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Guy Périllat,FRA,Men,Downhill,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Isabelle Mir,FRA,Women,Downhill,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Giant Slalom,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Annie Famose,FRA,Women,Giant Slalom,Silver,France
1968,Grenoble,Skiing,Alpine Skiing,Jean-Claude Killy,FRA,Men,Slalom,Gold,France
1968,Grenoble,Skiing,Alpine Skiing,Annie Famose,FRA,Women,Slalom,Bronze,France
1968,Grenoble,Skiing,Alpine Skiing,Marielle Goitschel,FRA,Women,Slalom,Gold,France
1972,Sapporo,Skating,Figure skating,Patrick Pera,FRA,Men,Individual,Bronze,France
1972,Sapporo,Skiing,Alpine Skiing,Florence Steurer,FRA,Women,Slalom,Bronze,France
1972,Sapporo,Skiing,Alpine Skiing,Danièle Debernard,FRA,Women,Slalom,Silver,France
1976,Innsbruck,Skiing,Alpine Skiing,Danièle Debernard,FRA,Women,Giant Slalom,Bronze,France
1980,Lake Placid,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Giant Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Giant Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Didier Bouvet,FRA,Men,Slalom,Bronze,France
1984,Sarajevo,Skiing,Alpine Skiing,Perrine Pelen,FRA,Women,Slalom,Silver,France
1988,Calgary,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Downhill,Bronze,France
1988,Calgary,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Super-G,Gold,France
1992,Albertville,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Biathlon,Biathlon,Véronique Claudel,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Biathlon,Biathlon,Corinne Niogret,FRA,Women,4X7.5KM Relay,Gold,France
1992,Albertville,Skating,Figure skating,Paul Duchesnay,FRA,Men,Ice Dancing,Silver,France
1992,Albertville,Skating,Figure skating,Isabelle Duchesnay-Dean,FRA,Women,Ice Dancing,Silver,France
1992,Albertville,Skiing,Alpine Skiing,Florence Masnada,FRA,Women,Alpine Combined,Bronze,France
1992,Albertville,Skiing,Alpine Skiing,Franck Piccard,FRA,Men,Downhill,Silver,France
1992,Albertville,Skiing,Alpine Skiing,Carole Merle,FRA,Women,Super-G,Silver,France
1992,Albertville,Skiing,Freestyle Skiing,Edgar Grospiron,FRA,Men,Moguls,Gold,France
1992,Albertville,Skiing,Freestyle Skiing,Olivier Allamand,FRA,Men,Moguls,Silver,France
1992,Albertville,Skiing,Nordic Combined,Fabrice Guy,FRA,Men,Individual,Gold,France
1992,Albertville,Skiing,Nordic Combined,Sylvain Guillaume,FRA,Men,Individual,Silver,France
1994,Lillehammer,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,15KM,Silver,France
1994,Lillehammer,Biathlon,Biathlon,Patrice Bailly-Salins,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Thierry Dusserre,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Hervé Flandin,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Lionel Laurent,FRA,Men,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Anne Briand Bouthiaux,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Delphyne Burlet,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Véronique Claudel,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Biathlon,Biathlon,Corinne Niogret,FRA,Women,4X7.5KM Relay,Bronze,France
1994,Lillehammer,Skating,Figure skating,Philippe Candeloro,FRA,Men,Individual,Bronze,France
1994,Lillehammer,Skiing,Freestyle Skiing,Edgar Grospiron,FRA,Men,Moguls,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Emanuel Hostache,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Eric Le Chanony,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Bruno Mingeon,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Bobsleigh,Bobsleigh,Max Robert,FRA,Men,Four-Man,Bronze,France
1998,Nagano,Skating,Figure skating,Marina Anissina,FRA,Women,Ice Dancing,Bronze,France
1998,Nagano,Skating,Figure skating,Gwendal Peizerat,FRA,Men,Ice Dancing,Bronze,France
1998,Nagano,Skating,Figure skating,Philippe Candeloro,FRA,Men,Individual,Bronze,France
1998,Nagano,Skiing,Alpine Skiing,Jean-Luc Cretier,FRA,Men,Downhill,Gold,France
1998,Nagano,Skiing,Alpine Skiing,Florence Masnada,FRA,Women,Downhill,Bronze,France
1998,Nagano,Skiing,Freestyle Skiing,Sebastien Foucras,FRA,Men,Aerials,Silver,France
1998,Nagano,Skiing,Nordic Combined,Nicolas Bal,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Sylvain Guillaume,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Fabrice Guy,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Nordic Combined,Ludovic Roux,FRA,Men,Team,Bronze,France
1998,Nagano,Skiing,Snowboard,Karine Ruby,FRA,Women,Giant-Slalom,Gold,France
2002,Salt Lake City,Biathlon,Biathlon,Raphael Poiree,FRA,Men,12.5Km Pursuit,Silver,France
2002,Salt Lake City,Biathlon,Biathlon,Vincent Defrasne,FRA,Men,4X7.5KM Relay,Bronze,France
2002,Salt Lake City,Biathlon,Biathlon,Gilles Marguet,FRA,Men,4X7.5KM Relay,Bronze,France
2002,Salt Lake City,Biathlon,Biathlon,Raphael Poiree,FRA,Men,4X7.5KM Relay,Bronze,France
2002,Salt Lake City,Biathlon,Biathlon,Julien Robert,FRA,Men,4X7.5KM Relay,Bronze,France
2002,Salt Lake City,Skating,Figure skating,Marina Anissina,FRA,Women,Ice Dancing,Gold,France
2002,Salt Lake City,Skating,Figure skating,Gwendal Peizerat,FRA,Men,Ice Dancing,Gold,France
2002,Salt Lake City,Skiing,Alpine Skiing,Carole Montillet-Carles,FRA,Women,Downhill,Gold,France
2002,Salt Lake City,Skiing,Alpine Skiing,Jean-Pierre Vidal,FRA,Men,Slalom,Gold,France
2002,Salt Lake City,Skiing,Alpine Skiing,Sebastien Amiez,FRA,Men,Slalom,Silver,France
2002,Salt Lake City,Skiing,Alpine Skiing,Laure Pequegnot,FRA,Women,Slalom,Silver,France
2002,Salt Lake City,Skiing,Freestyle Skiing,Richard Gay,FRA,Men,Moguls,Bronze,France
2002,Salt Lake City,Skiing,Snowboard,Isabelle Blanc,FRA,Women,Giant Parallel Slalom,Gold,France
2002,Salt Lake City,Skiing,Snowboard,Karine Ruby,FRA,Women,Giant Parallel Slalom,Silver,France
2002,Salt Lake City,Skiing,Snowboard,Doriane Vidal,FRA,Women,Half-Pipe,Silver,France
2006,Turin,Biathlon,Biathlon,Vincent Defrasne,FRA,Men,12.5Km Pursuit,Gold,France
2006,Turin,Biathlon,Biathlon,Sandrine Bailly,FRA,Women,4X6KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Florence Baverel-Robert,FRA,Women,4X6KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Sylvie Becaert,FRA,Women,4X6KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Delphyne Peretto,FRA,Women,4X6KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Ferreol Cannard,FRA,Men,4X7.5KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Vincent Defrasne,FRA,Men,4X7.5KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Raphael Poiree,FRA,Men,4X7.5KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Julien Robert,FRA,Men,4X7.5KM Relay,Bronze,France
2006,Turin,Biathlon,Biathlon,Florence Baverel-Robert,FRA,Women,7.5KM,Gold,France
2006,Turin,Skiing,Alpine Skiing,Antoine Deneriaz,FRA,Men,Downhill,Gold,France
2006,Turin,Skiing,Alpine Skiing,Joel Chenal,FRA,Men,Giant Slalom,Silver,France
2006,Turin,Skiing,Cross Country Skiing,Roddy Darragon,FRA,Men,Sprint 1.5KM,Silver,France
2006,Turin,Skiing,Freestyle Skiing,Sandra Laoura,FRA,Women,Moguls,Bronze,France
2006,Turin,Skiing,Snowboard,Paul-Henri Delerue,FRA,Men,Snowboard Cross,Bronze,France
2010,Vancouver,Biathlon,Biathlon,Vincent Jay,FRA,Men,10KM,Gold,France
2010,Vancouver,Biathlon,Biathlon,Marie Laure Brunet,FRA,Women,10KM Pursuit,Bronze,France
2010,Vancouver,Biathlon,Biathlon,Vincent Jay,FRA,Men,12.5Km Pursuit,Bronze,France
2010,Vancouver,Biathlon,Biathlon,Martin Fourcade,FRA,Men,15KM Mass Start,Silver,France
2010,Vancouver,Biathlon,Biathlon,Sandrine Bailly,FRA,Women,4X6KM Relay,Silver,France
2010,Vancouver,Biathlon,Biathlon,Sylvie Becaert,FRA,Women,4X6KM Relay,Silver,France
2010,Vancouver,Biathlon,Biathlon,Marie Laure Brunet,FRA,Women,4X6KM Relay,Silver,France
2010,Vancouver,Biathlon,Biathlon,Marie Dorin,FRA,Women,4X6KM Relay,Silver,France
2010,Vancouver,Biathlon,Biathlon,Marie Dorin,FRA,Women,7.5KM,Bronze,France
2010,Vancouver,Skiing,Freestyle Skiing,Marion Josserand,FRA,Women,Ski Cross,Bronze,France
2010,Vancouver,Skiing,Nordic Combined,Jason Lamy Chappuis,FRA,Men,"Individual, Ski Jumping K90 (70M)",Gold,France
2010,Vancouver,Skiing,Snowboard,Mathieu Bozzetto,FRA,Men,Giant Parallel Slalom,Bronze,France
2010,Vancouver,Skiing,Snowboard,Tony Ramoin,FRA,Men,Snowboard Cross,Bronze,France
2010,Vancouver,Skiing,Snowboard,Deborah Anthonioz,FRA,Women,Snowboard Cross,Silver,France
2014,Sochi,Biathlon,Biathlon,Jean Guillaume Beatrix,FRA,Men,12.5Km Pursuit,Bronze,France
2014,Sochi,Biathlon,Biathlon,Martin Fourcade,FRA,Men,12.5Km Pursuit,Gold,France
2014,Sochi,Biathlon,Biathlon,Martin Fourcade,FRA,Men,15KM Mass Start,Silver,France
2014,Sochi,Biathlon,Biathlon,Martin Fourcade,FRA,Men,20KM,Gold,France
2014,Sochi,Skiing,Alpine Skiing,Steve Missillier,FRA,Men,Giant Slalom,Silver,France
2014,Sochi,Skiing,Alpine Skiing,Alexis Pinturault,FRA,Men,Giant Slalom,Bronze,France
2014,Sochi,Skiing,Cross Country Skiing,Robin Duvillard,FRA,Men,4X10KM Relay,Bronze,France
2014,Sochi,Skiing,Cross Country Skiing,Jean Marc Gaillard,FRA,Men,4X10KM Relay,Bronze,France
2014,Sochi,Skiing,Cross Country Skiing,Maurice Manificat,FRA,Men,4X10KM Relay,Bronze,France
2014,Sochi,Skiing,Cross Country Skiing,Ivan Perrillat Boiteux,FRA,Men,4X10KM Relay,Bronze,France
2014,Sochi,Skiing,Freestyle Skiing,Arnaud Bovolenta,FRA,Men,Ski Cross,Silver,France
2014,Sochi,Skiing,Freestyle Skiing,Jean Frederic Chapuis,FRA,Men,Ski Cross,Gold,France
2014,Sochi,Skiing,Freestyle Skiing,Jonathan Midol,FRA,Men,Ski Cross,Bronze,France
2014,Sochi,Skiing,Freestyle Skiing,Kevin Rolland,FRA,Men,Ski Halfpipe,Bronze,France
2014,Sochi,Skiing,Freestyle Skiing,Marie Martinod,FRA,Women,Ski Halfpipe,Silver,France
2014,Sochi,Skiing,Ski Jumping,Coline Mattel,FRA,Women,K90 Individual,Bronze,France
2014,Sochi,Skiing,Snowboard,Pierre Vaultier,FRA,Men,Snowboard Cross,Gold,France
2014,Sochi,Skiing,Snowboard,Chloe Trespeuch,FRA,Women,Snowboard Cross,Bronze,France
1924,Chamonix,Biathlon,Biathlon,Adolf Aufdenblatten,SUI,Men,Military Patrol,Gold,Switzerland
1924,Chamonix,Biathlon,Biathlon,Alphonse Julen,SUI,Men,Military Patrol,Gold,Switzerland
1924,Chamonix,Biathlon,Biathlon,Ant. Julen,SUI,Men,Military Patrol,Gold,Switzerland
1924,Chamonix,Biathlon,Biathlon,D. Vaucher,SUI,Men,Military Patrol,Gold,Switzerland
1924,Chamonix,Bobsleigh,Bobsleigh,Alfred Neveu,SUI,Men,Four-Man,Gold,Switzerland
1924,Chamonix,Bobsleigh,Bobsleigh,Eduard Scherrer,SUI,Men,Four-Man,Gold,Switzerland
1924,Chamonix,Bobsleigh,Bobsleigh,Alfred Schläppi,SUI,Men,Four-Man,Gold,Switzerland
1924,Chamonix,Bobsleigh,Bobsleigh,Heinrich Schläppi,SUI,Men,Four-Man,Gold,Switzerland
1924,Chamonix,Skating,Figure skating,Georges Gautschi,SUI,Men,Individual,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Giannin Andreossi,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Mezzi Andreossi,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Robert Breiter,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Louis Dufour,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Charles Fasel,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Albert Geromini,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Fritz Kraatz,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Arnold Martignoni,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Heini Meng,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Anton Morosani,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Luzius Rüedi,SUI,Men,Ice Hockey,Bronze,Switzerland
1928,St.Moritz,Ice Hockey,Ice Hockey,Richard Torriani,SUI,Men,Ice Hockey,Bronze,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Reto Capadrutt,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Gaston Fonjallaz,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Gustave Fonjallaz,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,René Fonjallaz,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Oscar Geier,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Charles Jenny,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,Antoine Kloetta,SUI,Men,Two-Man,Silver,Switzerland
1932,Lake Placid,Bobsleigh,Bobsleigh,William Stauffer,SUI,Men,Two-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Joseph Beerli,SUI,Men,Four-Man,Gold,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Charles Bouvier,SUI,Men,Four-Man,Gold,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Arnold Gartmann,SUI,Men,Four-Man,Gold,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Pierre Musy,SUI,Men,Four-Man,Gold,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Hans Aichele,SUI,Men,Four-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Hans Bütikofer,SUI,Men,Four-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Reto Capadrutt,SUI,Men,Four-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Fritz Feierabend,SUI,Men,Four-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Joseph Beerli,SUI,Men,Two-Man,Silver,Switzerland
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,Fritz Feierabend,SUI,Men,Two-Man,Silver,Switzerland
1948,St.Moritz,Bobsleigh,Bobsleigh,Felix Endrich,SUI,Men,Two-Man,Gold,Switzerland
1948,St.Moritz,Bobsleigh,Bobsleigh,Friedrich Waller,SUI,Men,Two-Man,Gold,Switzerland
1948,St.Moritz,Bobsleigh,Bobsleigh,Paul Hans Eberhard,SUI,Men,Two-Man,Silver,Switzerland
1948,St.Moritz,Bobsleigh,Bobsleigh,Fritz Feierabend,SUI,Men,Two-Man,Silver,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Hans Bänninger,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Alfred Bieler,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Heinrich Boller,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Ferdinand Cattini,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Hans Cattini,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Hans Dürst,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Walter Paul Dürst,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Emil Handschin,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Heini Lohrer,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Werner Lohrer,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Reto Perl,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Gebhard Poltera,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Ulrich Poltera,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Beat Rüedi,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Otto Schubiger,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Richard Torriani,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Ice Hockey,Ice Hockey,Hans Trepp,SUI,Men,Ice Hockey,Bronze,Switzerland
1948,St.Moritz,Skating,Figure skating,Hans Gerschwiler,SUI,Men,Individual,Silver,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Karl Molitor,SUI,Men,Alpine Combined,Silver,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Karl Molitor,SUI,Men,Downhill,Bronze,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Rolf Olinger,SUI,Men,Downhill,Bronze,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Hedy Schlunegger,SUI,Women,Downhill,Gold,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Edi Reinalter,SUI,Men,Slalom,Gold,Switzerland
1948,St.Moritz,Skiing,Alpine Skiing,Antoinette Meyer,SUI,Women,Slalom,Silver,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,Fritz Feierabend,SUI,Men,Four-Man,Bronze,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,André Filippini,SUI,Men,Four-Man,Bronze,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,Albert Madörin,SUI,Men,Four-Man,Bronze,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,Stephan Waser,SUI,Men,Four-Man,Bronze,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,Fritz Feierabend,SUI,Men,Two-Man,Bronze,Switzerland
1952,Oslo,Bobsleigh,Bobsleigh,Stephan Waser,SUI,Men,Two-Man,Bronze,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Robert Alt,SUI,Men,Four-Man,Gold,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Heinrich Angst,SUI,Men,Four-Man,Gold,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Gottfried Diener,SUI,Men,Four-Man,Gold,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Franz Kapus,SUI,Men,Four-Man,Gold,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Max Angst,SUI,Men,Two-Man,Bronze,Switzerland
1956,Cortina d'Ampezzo,Bobsleigh,Bobsleigh,Harry Warburton,SUI,Men,Two-Man,Bronze,Switzerland
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,Raymond Fellay,SUI,Men,Downhill,Silver,Switzerland
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,Madeleine Berthod,SUI,Women,Downhill,Gold,Switzerland
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,Frieda Dänzer,SUI,Women,Downhill,Silver,Switzerland
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,Renée Colliard,SUI,Women,Slalom,Gold,Switzerland
1960,Squaw Valley,Skiing,Alpine Skiing,Roger Staub,SUI,Men,Giant Slalom,Gold,Switzerland
1960,Squaw Valley,Skiing,Alpine Skiing,Yvonne Ruegg,SUI,Women,Giant Slalom,Gold,Switzerland
1968,Grenoble,Bobsleigh,Bobsleigh,Hans Candrian,SUI,Men,Four-Man,Bronze,Switzerland
1968,Grenoble,Bobsleigh,Bobsleigh,Walter Graf,SUI,Men,Four-Man,Bronze,Switzerland
1968,Grenoble,Bobsleigh,Bobsleigh,Willi Hofmann,SUI,Men,Four-Man,Bronze,Switzerland
1968,Grenoble,Bobsleigh,Bobsleigh,Jean Wicki,SUI,Men,Four-Man,Bronze,Switzerland
1968,Grenoble,Skiing,Alpine Skiing,Jean-Daniel Dätwyler,SUI,Men,Downhill,Bronze,Switzerland
1968,Grenoble,Skiing,Alpine Skiing,Willy Favre,SUI,Men,Giant Slalom,Silver,Switzerland
1968,Grenoble,Skiing,Alpine Skiing,Fernande Bochatay,SUI,Women,Giant Slalom,Bronze,Switzerland
1968,Grenoble,Skiing,Cross Country Skiing,Joseph Haas,SUI,Men,50KM,Bronze,Switzerland
1968,Grenoble,Skiing,Nordic Combined,Alois Kälin,SUI,Men,Individual,Silver,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Werner Camichel,SUI,Men,Four-Man,Gold,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Edy Hubacher,SUI,Men,Four-Man,Gold,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Hans Leutenegger,SUI,Men,Four-Man,Gold,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Jean Wicki,SUI,Men,Four-Man,Gold,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Edy Hubacher,SUI,Men,Two-Man,Bronze,Switzerland
1972,Sapporo,Bobsleigh,Bobsleigh,Jean Wicki,SUI,Men,Two-Man,Bronze,Switzerland
1972,Sapporo,Skiing,Alpine Skiing,Bernhard Russi,SUI,Men,Downhill,Gold,Switzerland
1972,Sapporo,Skiing,Alpine Skiing,Roland Collombin,SUI,Men,Downhill,Silver,Switzerland
